Country,Matches Played,Wins,Losses,Home Wins
Scotland,813,386,427,224
England,1044,594,450,324
Wales,689,221,468,131
Northern Ireland,673,172,501,108
United States,720,318,402,242
Uruguay,916,399,517,199
Austria,819,339,480,220
Hungary,964,452,512,265
Argentina,1010,546,464,373
Belgium,801,354,447,229
France,872,436,436,290
Netherlands,817,419,398,252
Czechoslovakia,498,224,274,140
Switzerland,831,294,537,187
Sweden,1051,516,535,295
Germany,982,572,410,327
Italy,836,444,392,291
Chile,792,300,492,213
Norway,832,307,525,171
Finland,776,202,574,112
Luxembourg,430,43,387,28
Russia,716,366,350,190
Denmark,829,379,450,230
Catalonia,48,19,29,18
Basque Country,58,38,20,22
Brazil,1016,651,365,423
Japan,680,327,353,211
Paraguay,747,262,485,133
Canada,409,153,256,88
Estonia,509,128,381,78
Costa Rica,647,278,369,194
Guatemala,480,173,307,121
Spain,728,424,304,256
Brittany,12,6,6,5
Poland,847,364,483,206
Yugoslavia,481,223,258,108
New Zealand,378,156,222,83
Romania,723,315,408,195
Latvia,425,124,301,75
Galicia,9,4,5,3
Portugal,645,315,330,197
Andalusia,13,8,5,7
China PR,608,290,318,197
Australia,536,269,267,172
Lithuania,396,106,290,56
Turkey,599,233,366,130
Central Spain,2,1,1,1
Mexico,916,463,453,318
Aruba,127,23,104,18
Egypt,681,337,344,260
Haiti,473,198,275,115
Philippines,241,67,174,45
Bulgaria,698,255,443,153
Jamaica,595,227,368,144
Kenya,667,253,414,194
Bolivia,488,109,379,89
Peru,657,213,444,134
Honduras,560,218,342,148
Guyana,278,85,193,54
Uganda,662,277,385,172
Belarus,279,83,196,46
El Salvador,548,181,367,136
Barbados,275,89,186,62
Republic of Ireland,594,227,367,149
Trinidad and Tobago,694,299,395,180
Greece,592,222,370,138
Curaçao,345,127,218,76
Dominica,191,46,145,33
Silesia,8,3,5,3
Guadeloupe,246,101,145,63
Israel,454,159,295,105
Suriname,364,162,202,98
French Guiana,163,50,113,29
Cuba,351,121,230,62
Colombia,580,225,355,135
Ecuador,546,164,382,109
Saint Kitts and Nevis,188,75,113,51
Panama,466,150,316,98
Slovakia,325,129,196,67
Manchukuo,3,0,3,0
