Country,Matches Played,Wins,Losses
India,5,1,4
South Korea,23,14,9
Thailand,15,10,5
Senegal,17,9,8
Guinea,11,8,3
Mauritius,4,2,2
Malaysia,6,3,3
Cambodia,2,0,2
Bangladesh,3,1,2
Myanmar,1,1,0
Algeria,14,7,7
Qatar,6,3,3
Hong Kong,5,1,4
Syria,10,4,6
Libya,5,1,4
Morocco,12,4,8
Kenya,14,10,4
Czechoslovakia,3,3,0
Tunisia,10,6,4
Argentina,20,12,8
Zambia,24,13,11
Iran,18,7,11
Paraguay,14,6,8
Guinea-Bissau,2,0,2
Cameroon,15,8,7
Gambia,4,3,1
Italy,14,7,7
Nigeria,13,8,5
Mali,17,7,10
Rwanda,5,2,3
Ivory Coast,16,8,8
Germany,8,6,2
Indonesia,4,4,0
Uganda,17,7,10
Egypt,22,13,9
Brazil,15,10,5
Sierra Leone,7,2,5
Iraq,10,8,2
Denmark,6,2,4
Ghana,13,5,8
Saudi Arabia,5,5,0
Malawi,15,3,12
Chad,5,3,2
Central African Republic,3,1,2
Congo,2,0,2
Mozambique,10,6,4
Madagascar,5,2,3
Bahrain,3,3,0
Mexico,13,6,7
Spain,11,6,5
Gabon,13,4,9
Australia,8,5,3
DR Congo,7,4,3
Equatorial Guinea,5,1,4
Ethiopia,8,7,1
Canada,4,2,2
Chile,10,5,5
Eswatini,9,5,4
China PR,9,4,5
United States,7,4,3
Colombia,13,7,6
Zimbabwe,15,7,8
Republic of Ireland,3,1,2
Yugoslavia,2,0,2
Tanzania,8,4,4
Fiji,2,1,1
Netherlands,9,2,7
Cuba,4,1,3
Japan,11,5,6
Finland,5,2,3
Bolivia,2,1,1
Martinique,6,5,1
Jamaica,3,1,2
Burundi,4,0,4
Burkina Faso,11,6,5
Romania,4,1,3
Antigua and Barbuda,2,2,0
Uruguay,15,7,8
Mauritania,2,0,2
Honduras,7,4,3
Barbados,2,1,1
Guyana,1,0,1
England,11,3,8
France,9,4,5
Sudan,3,1,2
Croatia,7,4,3
United Arab Emirates,8,4,4
Benin,3,3,0
Russia,7,2,5
Ecuador,3,2,1
Trinidad and Tobago,4,2,2
Haiti,2,1,1
Hungary,1,1,0
Belgium,2,2,0
Guatemala,4,3,1
New Zealand,3,1,2
Namibia,10,4,6
South Africa,23,11,12
Suriname,3,2,1
British Virgin Islands,2,1,1
Maldives,2,0,2
Lesotho,12,6,6
Togo,4,3,1
Kuwait,6,2,4
Cyprus,2,2,0
Botswana,12,8,4
Niger,4,1,3
Guadeloupe,2,2,0
New Caledonia,1,1,0
Kazakhstan,3,3,0
Jordan,3,0,3
Portugal,5,3,2
Sweden,6,4,2
Angola,10,7,3
Uzbekistan,2,0,2
Singapore,4,1,3
Austria,2,0,2
Costa Rica,9,2,7
Ukraine,4,3,1
Zanzibar,3,2,1
Northern Cyprus,1,1,0
Switzerland,7,2,5
Provence,1,0,1
Panama,5,4,1
Latvia,4,3,1
Curaçao,1,0,1
El Salvador,2,0,2
Corsica,1,0,1
Bosnia and Herzegovina,2,1,1
Vietnam,2,2,0
Papua New Guinea,1,0,1
Peru,5,2,3
Poland,3,2,1
Andorra,1,0,1
Oman,4,3,1
Slovakia,2,2,0
Scotland,2,2,0
Serbia,3,1,2
Sri Lanka,2,1,1
Tajikistan,2,1,1
Taiwan,1,1,0
Vietnam Republic,3,1,2
Somalia,2,0,2
Greece,2,0,2
Solomon Islands,2,1,1
Estonia,3,0,3
Saint Kitts and Nevis,2,0,2
Bulgaria,1,1,0
Czech Republic,2,1,1
North Macedonia,1,0,1
North Korea,5,3,2
Georgia,1,0,1
Saint Lucia,1,0,1
Sint Maarten,1,0,1
Slovenia,1,1,0
Belarus,3,1,2
French Guiana,2,0,2
Vanuatu,1,0,1
Armenia,1,0,1
Israel,2,1,1
Seychelles,2,2,0
Turkey,1,1,0
Sápmi,1,1,0
Venezuela,1,0,1
Aruba,1,1,0
Basque Country,1,1,0
Cape Verde,1,1,0
Liberia,1,0,1
Djibouti,1,0,1
Northern Ireland,1,1,0
Moldova,1,0,1
